id,gho_code,year_code,region_code,world_bank_income_group_group_code,country_code,sex_code
ab4b9ad5-2d8a-4d8e-bea5-df688c7bc987,WHOSIS_000002,2013,EUR,WB_LMI,ALB,MLE
1b91049e-b895-43d0-882d-52d6a0a23787,WHOSIS_000002,2012,EUR,WB_LMI,ALB,BTSX
10fad67e-a076-4f83-8ff4-1ff38155171a,WHOSIS_000002,2012,EUR,WB_LMI,ALB,FMLE
d33558a6-7747-4979-8740-a2985213138b,WHOSIS_000002,2012,EUR,WB_LMI,ALB,MLE
9510e3a5-4edf-425a-b7d9-845c306efded,WHOSIS_000002,2000,EUR,WB_LMI,ALB,BTSX
e1b70d03-b267-4b89-89e4-37d107148c63,WHOSIS_000002,2000,EUR,WB_LMI,ALB,FMLE
3d96a8e7-bc4d-4417-94ee-fe5a618aa804,WHOSIS_000002,2000,EUR,WB_LMI,ALB,MLE
7e0ddf77-888f-41af-a6c2-109260104e72,WHOSIS_000015,2013,EUR,NA,ALB,BTSX
57759cda-ac2b-4c52-8bde-fed467b99c02,WHOSIS_000015,2013,EUR,NA,ALB,FMLE
51ab3893-e6ba-4180-aad9-a61d14485f91,WHOSIS_000015,2013,EUR,NA,ALB,MLE
691adedc-dbe5-498d-86d3-25b099fdcce5,WHOSIS_000015,2012,EUR,WB_LMI,ALB,BTSX
4dff950c-7b0d-4eb6-8fd2-9ae7136c8b08,WHOSIS_000015,2012,EUR,WB_LMI,ALB,FMLE
d4675d03-3849-440c-8606-ee249397b1a9,WHOSIS_000015,2012,EUR,WB_LMI,ALB,MLE
4cc2293f-c689-45de-a11b-1fecbe121cbd,WHOSIS_000015,2000,EUR,WB_LMI,ALB,BTSX
b1371642-600c-4ffe-a22d-b3269f654c1c,WHOSIS_000015,2000,EUR,WB_LMI,ALB,FMLE
314e26d4-0420-4278-8c25-a8d5342da862,WHOSIS_000015,2000,EUR,WB_LMI,ALB,MLE
e48562e4-4763-440b-93cd-7833f81e2a27,WHOSIS_000015,1990,EUR,WB_LMI,ALB,BTSX
20ca0a2a-2bfe-4d14-868b-4be57120d30c,WHOSIS_000015,1990,EUR,WB_LMI,ALB,FMLE
b85b9c14-7111-421f-9520-58e5801bfc18,WHOSIS_000015,1990,EUR,WB_LMI,ALB,MLE
048b7760-fb62-41a5-862b-6b6546c26928,WHOSIS_000001,2013,AFR,NA,DZA,BTSX
